round_number,number_of_alive_sheeps
1,15
2,15
3,15
4,14
5,13
6,13
7,13
8,12
9,12
10,12
11,12
12,11
13,11
14,11
15,11
16,10
17,10
18,10
19,10
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,7
44,7
45,6
46,6
47,6
48,6
49,6
50,5
1,20
2,19
3,19
4,19
5,19
6,18
7,18
8,18
9,18
10,18
11,18
12,17
13,17
14,17
15,17
16,17
17,16
18,16
19,16
20,16
21,16
22,16
23,15
24,15
25,15
26,15
27,14
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,12
36,12
37,11
38,11
39,11
40,10
41,10
42,10
43,9
44,9
45,9
46,9
47,8
48,8
49,8
50,7
1,15
2,15
3,15
4,14
5,14
6,13
7,13
8,13
9,13
10,13
11,12
12,12
13,12
14,12
15,11
16,11
17,11
18,10
19,10
20,10
21,10
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,8
31,8
32,8
33,8
34,7
35,7
36,7
37,7
38,6
39,6
40,6
41,6
42,6
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
1,15
2,14
3,14
4,14
5,14
6,13
7,13
8,13
9,13
10,12
11,12
12,12
13,11
14,11
15,10
16,10
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,6
49,6
50,6
1,10
2,10
3,10
4,9
5,9
6,9
7,9
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
1,10
2,10
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,8
11,8
12,8
13,8
14,7
15,7
16,7
17,7
18,7
19,6
20,6
21,6
22,6
23,6
24,6
1,10
2,10
3,9
4,9
5,9
6,8
7,8
8,8
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,14
15,14
16,14
17,14
18,14
19,14
20,14
21,14
22,14
23,14
24,14
25,14
26,14
27,14
28,14
29,14
30,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,13
42,13
43,13
44,13
45,13
46,13
47,13
48,13
49,13
50,13
1,15
2,15
3,14
4,14
5,14
6,13
7,13
8,13
9,12
10,12
11,12
12,12
13,12
14,12
15,12
16,11
17,11
18,11
19,11
20,11
21,10
22,10
23,10
24,9
25,9
26,9
27,8
28,8
29,8
30,8
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
1,14
2,13
3,12
4,11
5,11
6,10
7,10
8,9
9,9
10,8
11,8
12,7
13,7
14,6
15,5
16,5
17,4
18,4
19,3
20,3
21,2
22,2
23,2
24,2
25,2
26,1
27,1
28,1
29,1
30,1
